Name,Link,Price,Amt,Shipping,Total,Note,,
Brushless ESC,https://www.aliexpress.us/item/3256808427444400.html?spm=a2g0o.productlist.main.27.3a7bSViwSViwNx&algo_pvid=7494a8af-c1de-4929-9f87-2e64a0605513&algo_exp_id=7494a8af-c1de-4929-9f87-2e64a0605513-26&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%2113.05%216.39%21%21%2113.05%216.39%21%402101ec1a17540107750434640efdad%2112000045951641421%21sea%21US%216281988884%21X&curPageLogUid=efHkEWnhkgTq&utparam-url=scene%3Asearch%7Cquery_from%3A,$6.39,2,$7.14,$19.92,,,
Motor,https://www.gobilda.com/5203-series-yellow-jacket-planetary-gear-motor-13-7-1-ratio-24mm-length-8mm-rex-shaft-435-rpm-3-3-5v-encoder/,$20.00,2,0,$40.00,"Buying from a local supplier, way cheaper than offical",,
Lipo,https://www.amazon.com/Zeee-Batteries-Dean-Style-Connector-Vehicles/dp/B076Z778MJ,$35,1,0,$35,Amazon is more expensive but cheaper overall because free shipping,,
Drive Axis,https://www.gobilda.com/2106-series-stainless-steel-rex-shaft-8mm-diameter-80mm-length/?srsltid=AfmBOoqi5hE_IISTD1BT5tGOFCy_bx_6ofLbc6ujDzX10qrwTU9AS6mJ,$3,2,0,$6,,,
Stay Axis,https://www.gobilda.com/8mm-rex-shaft-with-e-clip-stainless-steel-264mm-length/?srsltid=AfmBOoqjviK-UEByVu-t2iFneixdqo-b6eVAmipZc_v-K2sj10Kit-PY,$5,1,0,$5,,,
MOD gear,https://www.gobilda.com/2315-series-steel-miter-gear-mod-1-25-set-screw-8mm-rex-bore-30-tooth/?srsltid=AfmBOorIKfPyKkyTupzHAX7ZsuG8dCold7jszeU7F_OJ-kjfoqULpf_l,$10,4,0,$40,,,
Bearing,https://www.gobilda.com/1611-series-flanged-ball-bearing-8mm-rex-id-x-14mm-od-5mm-thickness-2-pack/?srsltid=AfmBOor5_8j8XXi3Cew7zZZzQyjel-py2oLlhQJjM31_7_DT7lbU9tdu,$2,5,0,$10,,,$152.17
Hyper hub,https://www.gobilda.com/1310-series-hyper-hub-8mm-rex-bore/,$3,2,0,$6,,,
Receiver,https://radiomasterrc.com/products/er6-2-4ghz-elrs-pwm-receiver?gQT=1,$24.99,1,10,$34.99,,,
M3 by 16 for tracks,https://www.amazon.com/BNUOK-120pcs-Socket-Threads-Spanner/dp/B0DJQGGGJS/ref=sr_1_5?crid=1QBR3EFZQZT1S&dib=eyJ2IjoiMSJ9.KuzdWefaNDR41H9yEwkuvHNEcPIFLJGTjpgqjqoDCThyJsiLHdORGs5by7NyBOPolqCyIQtPqw0-5lmHzaWmwoez2hNjl3_PJaGcc_eUPUl-sKjM7aomgowHceR1hHQS7dgSL7TRzBtX3XCSEhKiOspSCFQipTaTkatSnTaqETo8tlZoUMbBbAnbUTGTgla8ZRVXKUuwdam84YcFW-C6XrGBYWi7cbg69vIbsGWMR_TrV2KPVUcgUlcgIH4u9bqOuqbUjNaB1HdGcQqQ_tAsJkDTiUCCV-SnGZyncsR2ZWc.7VV-t_CWyKV7M9Onv2OGk3kxLq_Qmg-nYJmwhzsVr04&dib_tag=se&keywords=M3%2Bx%2B15mm&qid=1754018068&s=hi&sprefix=m3%2Bx%2B15mm%2Ctools%2C99&sr=1-5&th=1,8.09,3,0,24.27,,,
M3 heatset inserts,https://www.amazon.com/Yaocom-Inserts-Threaded-Printing-Components/dp/B0F43D2TTH/ref=sr_1_4?crid=1UPQY5VU0DCOV&dib=eyJ2IjoiMSJ9.SJzCri0pQv_X1l8T5HZNmii5AM-si2FiLnwnDdu5CnCX2eRSoAXN2MFFcJjIfM3XxwWmTLTbdLpqpQhR6cyEpysdPpjyT2-hYufhBryDwrvuDhUfbYW8Jq6zI6JapAJ29EOQ4xXElxxgWa7p5DGhFJcXFYmXuulKXq8QJJJX8m9e37VD7rA6YdyYLFaXhgAgoUj-gJ8tb7OzAr1bQKRrV7-2x0MHXTC3SL4uiOKk-Gg.wPId2H2FO53XgfHaxPkZfbwddfIfHgh8z2sGxy7DloA&dib_tag=se&keywords=m3%2Bheatserts&qid=1754018192&sprefix=m3%2Bheat%2Caps%2C106&sr=8-4&th=1,18.99,1,0,18.99,,,
M4x8,https://www.amazon.com/BNUOK-120pcs-Socket-Threads-Spanner/dp/B0DYSRGFXQ/ref=sr_1_4?crid=2M5Z33QUZ50DF&dib=eyJ2IjoiMSJ9.nsAik5_aaH7aGDaM7Z1QvdepoMQgBCqW8ClkJv_PgC59CEpWC90wWLFsVXwPx4D7MeIaweXid-N0WOg8Wwlbk5Vw_dOu1gCHKcCdzM8oMM04OTFeFtnyIQIby2V825gENCxRK0HgjXerXNNCK0Pmz2bd2XKANdS4fmD_KklfQUBnu9Od24LGLqzsrAcDd4GunlvkV3f8ojTIHpKqyx7IdDA63tPzMbBnLVI91kqH0HLBoJAik-taCxZODzcpZbYcS766HKF44AL4CRHJiC0feg3y5-tMClu40Y4JY1vVHRI.fdhsnPK-Oqwdm46h3fzD39W5gyPvtQ0HZFEp74rOjrU&dib_tag=se&keywords=m4%2Bx8&qid=1754018304&s=industrial&sprefix=m4%2Bx8%2Cindustrial%2C111&sr=1-4&th=1,10,1,0,10,,,
M4x12,https://www.amazon.com/BNUOK-120pcs-Socket-Threads-Spanner/dp/B0DYRZQQZT/ref=sr_1_3?crid=3I4Y4YRDRWK4C&dib=eyJ2IjoiMSJ9.AxBJ8tA1wBuuBKTUnHiTHEq9r5gZpaTBoON9LwbHZo3ngv3YWlLbzXisftERap31BuChyKnE2fMvUlxrIwp-ctvWCOge9xtugNY95XkIgB364Gn1pXvnBCv0jKNkKlOgKX3WjDfNs-H67yxGi6mYtzeOXczbG3ucVyB0PcqkTYgGuHUKvigm_3Dp85_TmInEbrsWT_cNZkB7p3r7FlrzKO2GJEX8EyNsfrRId-2ZupE.mmqiSYZqr5pJ4UwQ_PhO-UwgfR2h3UBTa3VlCIkyJhg&dib_tag=se&keywords=m4%2Bx%2B12&qid=1754018317&sprefix=m4%2Bx%2B12%2Caps%2C123&sr=8-3&th=1,9,1,0,9,,,
,,,,0,0,,,
,,,,0,0,,,
,,,,0,0,,,
,,,,0,0,,,
,,,,0,0,,,
,,,,0,0,,,
,,,,,$259.17,,,
